epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,269.903,1.49082,2.94534,2.2999,1.44453,0,0.80964,0.08464,0.26242,0.11907,0.76146,0.0796,0.2445,0.10329,1.58154,3.95824,3.03211,1.5374,0,0.000651852,0.000651852,0.000651852
2,514.193,1.46004,2.54074,1.83152,1.4171,0,0.31078,0.26368,0.23657,0.10601,0.32268,0.25871,0.23624,0.11079,1.97227,3.96749,2.64188,1.92453,0,0.00129241,0.00129241,0.00129241
3,733.201,1.50538,2.52563,1.77534,1.44946,0,0.26757,0.30846,0.22346,0.09426,0.26757,0.30846,0.22022,0.0944,2.01627,3.90731,3.70705,1.99076,0,0.00190657,0.00190657,0.00190657
4,955.855,1.52451,2.46704,1.66297,1.44906,0,0.44309,0.30348,0.30919,0.13824,0.49108,0.29353,0.31814,0.14421,1.89511,3.37931,2.70565,1.89554,0,0.0018812,0.0018812,0.0018812
5,1176.33,1.48217,2.45992,1.60765,1.44003,0,0.37085,0.43781,0.35668,0.17807,0.39388,0.45771,0.40343,0.18635,1.75438,2.99219,2.33466,1.66777,0,0.0018416,0.0018416,0.0018416
6,1443.26,1.45478,2.39618,1.51487,1.39162,0,0.4415,0.5152,0.44871,0.22414,0.43538,0.5179,0.45135,0.21037,1.72138,3.42062,2.00285,1.66465,0,0.001802,0.001802,0.001802
7,1667.34,1.41557,2.29155,1.42666,1.39234,0,0.61123,0.58666,0.61012,0.30689,0.61027,0.58429,0.58909,0.28537,1.59925,2.85103,1.67522,1.5747,0,0.0017624,0.0017624,0.0017624
8,1942.26,1.43342,2.32485,1.4059,1.38215,0,0.56975,0.54682,0.55857,0.30625,0.58758,0.56706,0.58254,0.29973,1.54517,2.84019,1.6172,1.45706,0,0.0017228,0.0017228,0.0017228
9,2177.72,1.381,2.22855,1.37651,1.36043,0,0.56613,0.49751,0.51608,0.25936,0.56309,0.47761,0.50169,0.24194,1.71195,2.69396,1.78841,1.60707,0,0.0016832,0.0016832,0.0016832
10,2381.16,1.37843,2.20709,1.31876,1.34737,0,0.54406,0.56716,0.52676,0.27581,0.56551,0.58706,0.56107,0.27024,1.66567,2.75646,1.616,1.58154,0,0.0016436,0.0016436,0.0016436
11,2583.99,1.3509,2.1593,1.22903,1.31569,0,0.59875,0.60199,0.58503,0.29854,0.6156,0.61692,0.6111,0.30925,1.61765,2.68429,1.54808,1.51981,0,0.001604,0.001604,0.001604
12,2786.45,1.35616,2.18683,1.24505,1.32053,0,0.69008,0.52736,0.62258,0.35672,0.72173,0.53731,0.63223,0.34005,1.47371,2.63196,1.4612,1.42137,0,0.0015644,0.0015644,0.0015644
13,2987.83,1.29543,2.12697,1.19395,1.31287,0,0.61391,0.64179,0.6154,0.32172,0.63133,0.64749,0.64289,0.32543,1.57758,2.73729,1.52033,1.54947,0,0.0015248,0.0015248,0.0015248
14,3189.67,1.30346,2.0809,1.16262,1.29028,0,0.60932,0.61298,0.61331,0.3484,0.62574,0.62687,0.64489,0.33055,1.49537,2.63307,1.42761,1.45761,0,0.0014852,0.0014852,0.0014852
15,3390.33,1.2849,2.06636,1.13734,1.28079,0,0.56809,0.56219,0.55787,0.30247,0.59076,0.59204,0.58634,0.30863,1.56825,2.66082,1.61953,1.51137,0,0.0014456,0.0014456,0.0014456
16,3592.04,1.23854,2.00724,1.06055,1.25276,0,0.65401,0.59247,0.62395,0.33693,0.6762,0.61299,0.66171,0.33964,1.60036,2.5526,1.45952,1.50133,0,0.001406,0.001406,0.001406
17,3793.5,1.24234,2.0114,1.10411,1.26699,0,0.6251,0.60199,0.6258,0.35077,0.6251,0.60199,0.63047,0.32038,1.49363,2.71421,1.46778,1.43,0,0.0013664,0.0013664,0.0013664
18,3994.93,1.2519,2.01218,1.07883,1.2688,0,0.6672,0.59701,0.64792,0.36017,0.68711,0.62687,0.67205,0.36497,1.53103,2.55354,1.30551,1.44603,0,0.0013268,0.0013268,0.0013268
19,4196.76,1.22184,1.95757,1.05283,1.24625,0,0.63899,0.66169,0.66085,0.39292,0.65699,0.66705,0.67381,0.38155,1.46908,2.41568,1.31874,1.37912,0,0.0012872,0.0012872,0.0012872
20,4396.92,1.19412,1.92603,1.0282,1.23777,0,0.72161,0.58706,0.65699,0.37149,0.71953,0.59204,0.68337,0.36734,1.46477,2.4889,1.36191,1.4383,0,0.0012476,0.0012476,0.0012476
21,4598.86,1.17863,1.91877,1.00861,1.22212,0,0.76267,0.52736,0.62373,0.37361,0.78802,0.55486,0.66429,0.35115,1.44533,2.517,1.46962,1.43668,0,0.001208,0.001208,0.001208
22,4800.1,1.16525,1.87251,0.95629,1.21124,0,0.66632,0.69652,0.68409,0.3779,0.68187,0.69313,0.69666,0.36183,1.50123,2.79883,1.29826,1.45965,0,0.0011684,0.0011684,0.0011684
23,5001.21,1.15759,1.85144,0.93744,1.19518,0,0.74238,0.59204,0.65833,0.3751,0.74004,0.60902,0.67997,0.36642,1.48147,2.41467,1.36404,1.43293,0,0.0011288,0.0011288,0.0011288
24,5202.09,1.13765,1.89632,0.97367,1.21416,0,0.68501,0.66667,0.65731,0.37394,0.71026,0.69517,0.69433,0.37779,1.52484,2.57329,1.27815,1.44377,0,0.0010892,0.0010892,0.0010892
25,5403.6,1.12503,1.87029,0.91604,1.18346,0,0.638,0.70149,0.68593,0.38751,0.65064,0.71642,0.69674,0.37993,1.44038,2.36733,1.26827,1.37803,0,0.0010496,0.0010496,0.0010496
26,5604.68,1.12381,1.82142,0.89168,1.18143,0,0.67528,0.69318,0.69054,0.41419,0.67043,0.68821,0.69363,0.39931,1.36235,2.34646,1.22935,1.32156,0,0.00101,0.00101,0.00101
27,5804.59,1.13321,1.8304,0.89581,1.18282,0,0.68832,0.60199,0.67563,0.40113,0.72291,0.62304,0.70388,0.39046,1.43806,2.56735,1.25336,1.37545,0,0.0009704,0.0009704,0.0009704
28,6005.54,1.10544,1.81253,0.87935,1.17291,0,0.67701,0.67164,0.69366,0.42033,0.69475,0.67164,0.7186,0.41304,1.42333,2.26302,1.20987,1.3395,0,0.0009308,0.0009308,0.0009308
29,6207.28,1.0757,1.76628,0.87426,1.15197,0,0.69427,0.61692,0.69111,0.40367,0.70275,0.63515,0.70293,0.38701,1.44481,2.6174,1.32953,1.42788,0,0.0008912,0.0008912,0.0008912
30,6409.89,1.06833,1.76671,0.8426,1.14293,0,0.71608,0.65174,0.69646,0.43411,0.7334,0.66667,0.72036,0.41747,1.37749,2.37587,1.23578,1.30843,0,0.0008516,0.0008516,0.0008516
31,6611.77,1.06017,1.73118,0.80563,1.14222,0,0.68132,0.64884,0.7073,0.39797,0.69713,0.65275,0.69729,0.37481,1.487,2.42668,1.26034,1.40041,0,0.000812,0.000812,0.000812
32,6814.69,1.04723,1.71492,0.81462,1.13119,0,0.66121,0.62189,0.65543,0.38977,0.71639,0.63184,0.68005,0.37562,1.41254,2.50379,1.36604,1.37256,0,0.0007724,0.0007724,0.0007724
